Index,Region,State,County,Population,% College Grad,Income per Capita,Employees,Retail Sales,Median Rent
1645,South Atlantic,GA,Pike,11441,9.3,15479,762,19570,218
1646,South Atlantic,GA,Polk,34771,6.8,14344,6784,164573,216
1647,South Atlantic,GA,Pulaski,8245,10.7,17464,2371,37747,141
1648,South Atlantic,GA,Putnam,15991,11.7,15873,3236,43572,191
1649,South Atlantic,GA,Quitman,2420,7.3,14048,78,4621,99
1650,South Atlantic,GA,Rabun,12738,11.6,14988,3799,79592,205
1651,South Atlantic,GA,Randolph,8092,6,13340,1681,25503,99
1652,South Atlantic,GA,Richmond,195508,17.3,18500,80816,1688720,305
1653,South Atlantic,GA,Rockdale,64448,18.1,19267,21495,539495,447
1654,South Atlantic,GA,Schley,3783,8,14525,754,9604,150
1655,South Atlantic,GA,Screven,14336,8.6,14690,3051,61409,160
1656,South Atlantic,GA,Seminole,9097,7.8,13935,1647,51728,159
1657,South Atlantic,GA,Spalding,57306,11.1,15739,17069,409882,250
1658,South Atlantic,GA,Stephens,25000,13.1,15577,10008,171523,200
1659,South Atlantic,GA,Stewart,5438,8,12890,869,13629,99
1660,South Atlantic,GA,Sumter,31245,15.9,15583,11089,223784,189
1661,South Atlantic,GA,Talbot,6741,7.1,11654,347,7639,99
1662,South Atlantic,GA,Taliaferro,1883,5.6,14924,107,3507,99
1663,South Atlantic,GA,Tattnall,18588,6.5,14188,3959,84639,156
1664,South Atlantic,GA,Taylor,8048,7.1,14650,1203,29902,130
1665,South Atlantic,GA,Telfair,11623,8.6,14188,4095,47028,138
1666,South Atlantic,GA,Terrell,11007,9.2,13407,2019,41970,125
1667,South Atlantic,GA,Thomas,41419,13.4,17432,14733,300726,213
1668,South Atlantic,GA,Tift,35932,14,15583,14297,329158,194
1669,South Atlantic,GA,Toombs,25276,11.4,15277,8376,175082,162
1670,South Atlantic,GA,Towns,7559,11.4,13679,1382,28925,189
1671,South Atlantic,GA,Treutlen,5943,6.3,12712,844,15463,113
1672,South Atlantic,GA,Troup,57882,13.6,16978,25008,391701,234
1673,South Atlantic,GA,Turner,8916,7.2,14930,1555,42719,148
1674,South Atlantic,GA,Twiggs,10060,4.8,12245,1406,9648,145
1675,South Atlantic,GA,Union,14427,10.1,13949,2504,59566,212
1676,South Atlantic,GA,Upson,26961,9,14647,8652,148056,183
1677,South Atlantic,GA,Walker,60654,8.4,14961,13389,208120,236
1678,South Atlantic,GA,Walton,46694,9.4,16553,7634,152887,273
1679,South Atlantic,GA,Ware,35589,10.4,14838,11912,309132,192
1680,South Atlantic,GA,Warren,6057,4.2,13259,916,13012,121
1681,South Atlantic,GA,Washington,19953,9.8,17109,6143,127665,148
1682,South Atlantic,GA,Wayne,24818,9.6,14594,6784,143540,166
1683,South Atlantic,GA,Webster,2260,5.5,14817,269,0,99
1684,South Atlantic,GA,Wheeler,4830,8.6,13673,735,8164,106
1685,South Atlantic,GA,White,15330,13.6,18112,4511,149504,251
1686,South Atlantic,GA,Whitfield,78033,12,19560,48314,695042,289
1687,South Atlantic,GA,Wilcox,7100,7.6,14588,1076,17556,125
1688,South Atlantic,GA,Wilkes,10615,10.4,16639,3715,53832,124
1689,South Atlantic,GA,Wilkinson,10627,8.8,14920,2836,30558,135
1690,South Atlantic,GA,Worth,21643,6.3,13768,2220,75636,149
1691,South Atlantic,MD,Allegany,73954,11.8,16433,23151,573551,216
1692,South Atlantic,MD,Anne Arundel,461807,24.6,23400,142150,3863633,534
1693,South Atlantic,MD,Baltimore,715360,25,25560,283281,6890786,458
1694,South Atlantic,MD,Baltimore City,691131,15.5,20182,297523,3266722,321
1695,South Atlantic,MD,Calvert,64598,17.6,21129,11400,301460,519
1696,South Atlantic,MD,Caroline,29072,10.8,15065,5675,138556,256
1697,South Atlantic,MD,Carroll,140203,19.6,22206,36451,964961,397
1698,South Atlantic,MD,Cecil,78174,12.1,18253,16377,523621,364
1699,South Atlantic,MD,Charles,111633,16.2,20694,24411,800907,603
1700,South Atlantic,MD,Dorchester,30170,10.9,17080,9463,160672,228
1701,South Atlantic,MD,Frederick,175399,22,20881,53001,1263025,487
1702,South Atlantic,MD,Garrett,29461,9.5,14412,7739,195893,230
1703,South Atlantic,MD,Harford,205367,21.5,20345,40813,1312926,403
1704,South Atlantic,MD,Howard,219125,46.9,28165,88047,1359151,614
1705,South Atlantic,MD,Kent,18736,16.9,20633,5662,137319,313
1706,South Atlantic,MD,Montgomery,809569,49.9,34299,328052,7396838,698
1707,South Atlantic,MD,Prince Georges,767413,25.5,21772,221153,5986224,607
1708,South Atlantic,MD,Queen Annes,36992,19.9,21772,6482,214338,350
1709,South Atlantic,MD,Somerset,24431,9.6,13817,2775,68586,230
1710,South Atlantic,MD,St. Marys,81037,16.8,18106,15523,409612,447
1711,South Atlantic,MD,Talbot,32405,23,27895,14698,323416,340
1712,South Atlantic,MD,Washington,127199,11.4,17028,44222,954071,297
1713,South Atlantic,MD,Wicomico,79256,18.5,18184,32595,743807,349
1714,South Atlantic,MD,Worcester,39946,14.8,21371,14876,586339,296
1715,South Atlantic,NC,Alamance,115062,14.6,18647,52330,954912,279
1716,South Atlantic,NC,Alexander,29892,7.9,16771,8527,106991,224
1717,South Atlantic,NC,Alleghany,9893,9,15416,2700,50865,175
1718,South Atlantic,NC,Anson,24177,7.3,15265,7212,97756,186
1719,South Atlantic,NC,Ashe,23371,8.1,15778,5430,131883,181
1720,South Atlantic,NC,Avery,15323,12.4,16813,4564,81305,214
1721,South Atlantic,NC,Beaufort,44123,10.8,15166,14439,280122,191
1722,South Atlantic,NC,Bertie,20847,8,14169,5549,57192,135
1723,South Atlantic,NC,Bladen,29963,7.7,14507,7005,119868,151
1724,South Atlantic,NC,Brunswick,60795,10.7,14834,12234,320683,263
1725,South Atlantic,NC,Buncombe,189506,19.1,19355,80604,1609756,281
1726,South Atlantic,NC,Burke,79859,10.6,16633,28353,450383,235
1727,South Atlantic,NC,Cabarrus,110030,12.3,18799,36683,752483,270
1728,South Atlantic,NC,Caldwell,74060,8.9,16674,28218,427971,238
1729,South Atlantic,NC,Camden,6453,10.1,14521,669,14161,209
1730,South Atlantic,NC,Carteret,57880,16.2,16175,13461,453413,280
1731,South Atlantic,NC,Caswell,21324,6.6,14480,1441,39280,162
1732,South Atlantic,NC,Catawba,126425,14.2,20469,81233,1236012,281
1733,South Atlantic,NC,Chatham,42536,19.5,19787,11010,171957,278
1734,South Atlantic,NC,Cherokee,21602,8,12824,6226,141073,181
1735,South Atlantic,NC,Chowan,14013,12.2,15679,4073,70336,179
1736,South Atlantic,NC,Clay,7858,12.6,13591,1199,41425,172
1737,South Atlantic,NC,Cleveland,89772,11.1,16514,33557,548986,227
1738,South Atlantic,NC,Columbus,51400,9.1,15301,13567,311267,168
1739,South Atlantic,NC,Craven,85518,15.1,16979,21305,602359,302
1740,South Atlantic,NC,Cumberland,285869,16.6,16403,72765,1989955,318
1741,South Atlantic,NC,Currituck,16274,8.2,15899,1598,71630,304
1742,South Atlantic,NC,Dare,26047,21.4,17625,8732,358381,416
1743,South Atlantic,NC,Davidson,135373,10,17153,41723,701461,246
1744,South Atlantic,NC,Davie,29610,14.7,21305,8209,131997,249
1745,South Atlantic,NC,Duplin,41987,6.6,17118,10264,200757,156
1746,South Atlantic,NC,Durham,195261,33.4,21547,118904,1494754,355
1747,South Atlantic,NC,Edgecombe,56371,8.1,15432,21902,237421,191
1748,South Atlantic,NC,Forsyth,281052,24.1,23579,152633,2771235,302
1749,South Atlantic,NC,Franklin,41395,9.2,14858,6191,113350,188
1750,South Atlantic,NC,Gaston,181466,10.8,17602,73518,1254014,253
1751,South Atlantic,NC,Gates,9854,7.4,14855,906,28690,135
1752,South Atlantic,NC,Graham,7622,10,11930,1354,28941,145
1753,South Atlantic,NC,Granville,40911,9.6,15191,12525,186642,207
1754,South Atlantic,NC,Greene,16942,8.9,16287,1801,28182,160
1755,South Atlantic,NC,Guilford,374438,24.8,22530,216126,3608337,340
1756,South Atlantic,NC,Halifax,57497,8.6,14587,15101,369894,178
1757,South Atlantic,NC,Harnett,76310,9.5,14525,17266,330743,214
1758,South Atlantic,NC,Haywood,49737,12.8,16217,12399,398116,214
1759,South Atlantic,NC,Henderson,76704,19.5,19335,23560,642486,288
1760,South Atlantic,NC,Hertford,22587,10.7,13246,6493,130941,176
1761,South Atlantic,NC,Hoke,27627,8.4,11921,5309,60964,217
1762,South Atlantic,NC,Hyde,5366,7.7,15142,983,28479,158
1763,South Atlantic,NC,Iredell,103412,11.8,18297,39748,699193,265
1764,South Atlantic,NC,Jackson,29029,19.7,14740,5984,143177,224
1765,South Atlantic,NC,Johnston,94777,11.1,17450,22670,592128,208
1766,South Atlantic,NC,Jones,9797,8.1,18838,1514,37865,164
1767,South Atlantic,NC,Lee,45945,14.3,19699,21740,439525,242
1768,South Atlantic,NC,Lenoir,59257,11.5,17333,27359,479380,175
1769,South Atlantic,NC,Lincoln,56017,10.5,16915,14784,263115,244
1770,South Atlantic,NC,Macon,26180,13.2,15427,6582,188136,240
1771,South Atlantic,NC,Madison,17942,11.3,14587,1854,55379,161
1772,South Atlantic,NC,Martin,26396,9.5,15763,7500,165725,160
1773,South Atlantic,NC,McDowell,37471,8.1,14740,13593,215248,202
1774,South Atlantic,NC,Mecklenburg,579473,28.3,24612,374136,5435008,383
1775,South Atlantic,NC,Mitchell,14699,9.2,14573,3932,83122,196
1776,South Atlantic,NC,Montgomery,23487,7.8,15136,8609,112434,196
1777,South Atlantic,NC,Moore,67174,19.9,21458,21585,447135,260
1778,South Atlantic,NC,Nash,85561,13.7,18074,34068,731931,228
1779,South Atlantic,NC,New Hanover,139815,21.2,18931,59113,1389712,324
1780,South Atlantic,NC,Northampton,20905,8.8,14297,2995,55114,129
1781,South Atlantic,NC,Onslow,143324,13.4,13168,24613,811518,316
1782,South Atlantic,NC,Orange,107648,46.1,21945,28553,668464,389
1783,South Atlantic,NC,Pamlico,12066,11.6,14905,1469,42983,219
1784,South Atlantic,NC,Pasquotank,33866,14.4,15369,8894,297851,242
1785,South Atlantic,NC,Pender,35080,11.6,14759,4914,94869,242
1786,South Atlantic,NC,Perquimans,10798,8.8,14412,1036,24760,193
1787,South Atlantic,NC,Person,32376,7.6,16849,8894,185399,203
1788,South Atlantic,NC,Pitt,117740,21.9,17679,40673,932716,250
1789,South Atlantic,NC,Polk,15800,20.1,22186,3397,62684,234
1790,South Atlantic,NC,Randolph,114624,9.1,17127,39651,615187,248
1791,South Atlantic,NC,Richmond,45660,7.9,14454,14381,274866,191
1792,South Atlantic,NC,Robeson,112038,11,14024,33453,714644,165
1793,South Atlantic,NC,Rockingham,88414,8.8,16979,28740,508000,209
1794,South Atlantic,NC,Rowan,119211,11.7,16841,38538,625582,252
1795,South Atlantic,NC,Rutherford,59210,9.8,15791,21662,395079,216
1796,South Atlantic,NC,Sampson,50485,8.1,19123,11948,268793,172
1797,South Atlantic,NC,Scotland,35304,13.6,15352,14583,189694,202
1798,South Atlantic,NC,Stanly,54172,9.4,16152,18759,331767,227
1799,South Atlantic,NC,Stokes,40723,7.3,16399,4641,106226,238
1800,South Atlantic,NC,Surry,65159,9.4,17406,34006,553473,206
1801,South Atlantic,NC,Swain,11815,9.9,12108,4214,74111,160
1802,South Atlantic,NC,Transylvania,27339,17.9,17131,8001,142565,257
1803,South Atlantic,NC,Tyrrell,3894,7.6,14394,314,18264,155
1804,South Atlantic,NC,Union,99155,13.2,17879,29244,497566,308
1805,South Atlantic,NC,Vance,40720,9.5,15726,14852,322887,181
1806,South Atlantic,NC,Wake,513639,35.3,23959,227468,4381013,392
1807,South Atlantic,NC,Warren,17984,7.1,11989,2832,43748,130
1808,South Atlantic,NC,Washington,14119,8.7,16055,4317,72006,171
1809,South Atlantic,NC,Watauga,39799,27.4,15090,12205,384301,312
1810,South Atlantic,NC,Wayne,110174,12.7,15261,32800,698831,213
1811,South Atlantic,NC,Wilkes,60922,8.8,16657,21207,365434,213
1812,South Atlantic,NC,Wilson,67362,14.4,18596,28297,502834,205
1813,South Atlantic,NC,Yadkin,32958,7.1,16761,7001,146708,199
1814,South Atlantic,NC,Yancey,16241,10,13566,3316,86283,179
1815,South Atlantic,SC,Abbeville,24258,10.8,13770,5815,80731,158
1816,South Atlantic,SC,Aiken,133059,17.2,18962,53672,829133,268
1817,South Atlantic,SC,Allendale,11580,9.5,11398,2250,39472,123
1818,South Atlantic,SC,Anderson,154478,12.9,16545,49199,1062066,224
1819,South Atlantic,SC,Bamberg,16698,11.2,12497,3464,62098,132
1820,South Atlantic,SC,Barnwell,21478,11.9,15541,6085,99959,165
1821,South Atlantic,SC,Beaufort,99841,26.5,20489,31342,930883,423
1822,South Atlantic,SC,Berkeley,135337,11.6,13477,15906,389990,357
1823,South Atlantic,SC,Calhoun,13369,11.7,14505,2034,29289,127
1824,South Atlantic,SC,Charleston,281983,22.4,18918,132649,2958416,346
1825,South Atlantic,SC,Cherokee,47184,9.3,14334,16853,268061,201
1826,South Atlantic,SC,Chester,33050,9.1,13510,9906,137425,169
1827,South Atlantic,SC,Chesterfield,39365,7.7,14962,12189,193060,167
1828,South Atlantic,SC,Clarendon,29415,10.2,12078,5534,136855,119
1829,South Atlantic,SC,Colleton,36738,9.6,13394,8184,197479,177
1830,South Atlantic,SC,Darlington,64997,12.4,15477,19493,342185,172
1831,South Atlantic,SC,Dillon,29759,8.5,12640,8228,177782,142
1832,South Atlantic,SC,Dorchester,89100,17.3,15480,16196,470682,335
1833,South Atlantic,SC,Edgefield,19341,12.2,14399,3458,77043,161
1834,South Atlantic,SC,Fairfield,22504,9.6,13872,5872,60270,151
1835,South Atlantic,SC,Florence,122769,14.8,16877,48341,1060820,224
1836,South Atlantic,SC,Georgetown,50890,15.6,16134,17673,389443,232
1837,South Atlantic,SC,Greenville,339908,21,19655,205350,3022379,292
1838,South Atlantic,SC,Greenwood,61954,16,16713,25761,486268,215
1839,South Atlantic,SC,Hampton,19120,8.8,13324,4225,97453,138
1840,South Atlantic,SC,Horry,157902,16,16872,58583,1803589,350
1841,South Atlantic,SC,Jasper,16404,4.8,13465,2685,77451,180
1842,South Atlantic,SC,Kershaw,46768,12.5,15971,13882,276964,218
1843,South Atlantic,SC,Lancaster,56325,9.6,15583,16846,313876,210
1844,South Atlantic,SC,Laurens,60804,11.3,16733,16443,253844,197
1845,South Atlantic,SC,Lee,18672,7.5,11433,3104,67944,142
1846,South Atlantic,SC,Lexington,191879,21,18582,49430,1271268,331
1847,South Atlantic,SC,Marion,35203,9.1,13146,9300,170626,154
1848,South Atlantic,SC,Marlboro,29963,7.9,12046,6513,113764,162
1849,South Atlantic,SC,McCormick,9224,7.1,11257,1195,14441,122
1850,South Atlantic,SC,Newberry,34215,12.5,14887,10308,179891,183
1851,South Atlantic,SC,Oconee,61605,13.3,16996,19109,348770,208
1852,South Atlantic,SC,Orangeburg,87719,13.7,14292,26222,569049,173
1853,South Atlantic,SC,Pickens,102407,16.9,15378,29186,544788,253
1854,South Atlantic,SC,Richland,289839,28,19222,138567,2505025,343
1855,South Atlantic,SC,Saluda,16903,8,14690,3546,57722,145
1856,South Atlantic,SC,Spartanburg,240329,14.3,17484,102388,1691924,257
1857,South Atlantic,SC,Sumter,106823,15,13706,31121,595837,241
1858,South Atlantic,SC,Union,30836,7.2,13925,9060,129459,163
1859,South Atlantic,SC,Williamsburg,37467,9.9,12415,8934,136088,132
1860,South Atlantic,SC,York,143825,16.9,18617,41162,896368,298
1861,South Atlantic,VA,Accomack,32266,9.2,15699,8701,172960,219
1862,South Atlantic,VA,Albemarle,73203,39.4,23357,10747,221825,454
1863,South Atlantic,VA,Alexandria,115609,48.5,34023,66647,1381085,667
1864,South Atlantic,VA,Alleghany,12604,9.3,16849,1957,25034,185
1865,South Atlantic,VA,Amelia,9670,7.2,16076,1421,30367,219
1866,South Atlantic,VA,Amherst,29770,10.7,14870,5811,159882,250
1867,South Atlantic,VA,Appomattox,12777,8.7,15811,2955,60809,209
1868,South Atlantic,VA,Arlington,172660,52.3,34216,100896,1588830,678
1869,South Atlantic,VA,Augusta,59510,11.7,18285,13366,225137,265
1870,South Atlantic,VA,Bath,4870,12.8,19855,1712,14614,214
1871,South Atlantic,VA,Bedford,52335,15.6,18833,4228,43915,272
1872,South Atlantic,VA,Bedford City,6479,15,0,6760,128174,191
1873,South Atlantic,VA,Bland,6783,4.6,13091,1489,19175,171
1874,South Atlantic,VA,Botetourt,27279,13.6,17980,4422,92527,249
1875,South Atlantic,VA,Bristol,17918,13.8,0,13712,258143,232
1876,South Atlantic,VA,Brunswick,16465,7,12777,3172,55164,150
1877,South Atlantic,VA,Buchanan,30430,6.4,15353,8405,138079,188
1878,South Atlantic,VA,Buckingham,13316,7.9,14643,1988,31448,175
1879,South Atlantic,VA,Buena Vista,6405,8.7,0,1487,28885,194
1880,South Atlantic,VA,Campbell,48918,12.9,18502,13516,250309,260
1881,South Atlantic,VA,Caroline,21079,8.3,15752,2648,90942,288
1882,South Atlantic,VA,Carroll,27634,6.5,14257,4719,106908,200
1883,South Atlantic,VA,Charles City,6733,8.4,16003,724,4837,229
1884,South Atlantic,VA,Charlotte,12188,6.5,13854,2117,25295,144
1885,South Atlantic,VA,Charlottesville,40227,34.1,0,39931,891186,391
1886,South Atlantic,VA,Chesapeake,187998,16.9,18337,49615,1218215,399
1887,South Atlantic,VA,Chesterfield,239659,29.2,23231,63551,1690056,447
1888,South Atlantic,VA,Clarke,12390,18.6,21195,2129,29789,335
1889,South Atlantic,VA,Clifton Forge,4460,8.9,0,943,35122,173
1890,South Atlantic,VA,Colonial Heights,16951,16.7,0,6355,311466,368
1891,South Atlantic,VA,Covington,6787,7,0,4882,115380,197
1892,South Atlantic,VA,Craig,4821,7.7,15164,725,6732,185
1893,South Atlantic,VA,Culpeper,30528,14.9,18627,8386,177669,402
1894,South Atlantic,VA,Cumberland,7737,11.2,16972,692,23159,222
1895,South Atlantic,VA,Danville,53789,12.4,0,25191,515779,195
1896,South Atlantic,VA,Dickenson,17586,6,14321,2791,55369,189
1897,South Atlantic,VA,Dinwiddie,22944,8.4,19005,2100,34708,239
1898,South Atlantic,VA,Emporia,5835,13.4,0,2897,107808,225
1899,South Atlantic,VA,Essex,9251,16.4,16884,3572,110630,277
1900,South Atlantic,VA,Fairfax,887205,49,32422,340038,7338449,748
1901,South Atlantic,VA,Fairfax City,20637,41.3,0,31453,936505,729
1902,South Atlantic,VA,Falls Chruch,9617,52.8,0,12052,236246,769
1903,South Atlantic,VA,Fauquier,51473,21.5,25775,10117,286009,498
1904,South Atlantic,VA,Floyd,12642,10.4,14572,1503,44101,183
1905,South Atlantic,VA,Fluvanna,16058,16.3,17246,1761,19007,329
1906,South Atlantic,VA,Franklin,42856,10.1,15695,9458,190416,206
1907,South Atlantic,VA,Franklin City,8407,14.4,0,3106,77753,222
1908,South Atlantic,VA,Frederick,51549,14.7,18787,9006,147418,351
1909,South Atlantic,VA,Fredericksburg,21953,26.1,0,15360,419853,461
1910,South Atlantic,VA,Galax,6632,11.3,0,7925,124608,187
1911,South Atlantic,VA,Giles,16374,8.9,15577,4962,86299,198
1912,South Atlantic,VA,Gloucester,33421,14.7,17124,5211,180703,356
1913,South Atlantic,VA,Goochland,16138,19.3,26279,2370,39969,282
1914,South Atlantic,VA,Grayson,16380,4.2,13886,2011,27318,168
1915,South Atlantic,VA,Greene,12660,12.7,14620,1379,26823,314
1916,South Atlantic,VA,Greensville,10967,5.3,14047,1586,11751,160
1917,South Atlantic,VA,Halifax,30317,6.4,14735,3752,54170,138
1918,South Atlantic,VA,Hampton,139181,19.1,16656,40308,1345359,385
1919,South Atlantic,VA,Hanover,74641,18.9,21177,22848,488935,423
1920,South Atlantic,VA,Harrisonburg,33158,28.7,0,16329,510179,341
1921,South Atlantic,VA,Henrico,232799,28,25223,90199,1676946,436
1922,South Atlantic,VA,Henry,56585,6.7,17894,15587,233274,239
1923,South Atlantic,VA,Highland,2575,13,16628,380,8876,172
1924,South Atlantic,VA,Hopewell,22548,10,0,7007,125594,288
1925,South Atlantic,VA,Isle of Wight,27769,10.4,18295,7603,100031,264
1926,South Atlantic,VA,James City,40489,32.9,22383,8980,227569,455
1927,South Atlantic,VA,King and Queen,6441,7.5,17330,517,5771,228
1928,South Atlantic,VA,King George,16463,20.4,18966,3071,44066,386
1929,South Atlantic,VA,King William,12244,13,19272,3068,58963,247
1930,South Atlantic,VA,Lancaster,11161,18.9,23961,3591,90526,309
1931,South Atlantic,VA,Lee,24411,6.5,12917,3484,84588,176
1932,South Atlantic,VA,Lexington,7206,32.1,0,4846,122842,284
1933,South Atlantic,VA,Loudoun,115870,32.7,26430,33023,852069,682
1934,South Atlantic,VA,Louisa,22887,8.7,16497,4495,67088,283
1935,South Atlantic,VA,Lunenburg,11155,6.6,13606,2345,34471,154
1936,South Atlantic,VA,Lynchburg,66710,21.7,0,46916,1027836,272
1937,South Atlantic,VA,Madison,12252,15.4,15276,2008,54030,281
1938,South Atlantic,VA,Manassas City,32657,25.8,0,16541,487803,603
1939,South Atlantic,VA,Manassas Park City,7417,7.9,0,2143,20809,602
1940,South Atlantic,VA,Martinsville,15924,15.8,0,19253,268092,255
1941,South Atlantic,VA,Mathews,8947,15.5,20240,899,28023,280
1942,South Atlantic,VA,Mecklenburg,30760,10,15474,10883,178283,149
1943,South Atlantic,VA,Middlesex,9327,14.7,19256,1611,40806,263
1944,South Atlantic,VA,Montgomery,75756,31.6,14185,19730,616915,341
1945,South Atlantic,VA,Nelson,13357,13.4,16034,2615,32662,206
1946,South Atlantic,VA,New Kent,11679,13.4,19038,1394,41677,304
1947,South Atlantic,VA,Newport News,179794,18.4,17288,75971,1183262,368
1948,South Atlantic,VA,Norfolk,237570,16.8,17198,107289,1803055,361
1949,South Atlantic,VA,Northampton,13013,12.4,15938,2586,61324,151
1950,South Atlantic,VA,Northumberland,11122,13.5,19270,2060,33348,224
1951,South Atlantic,VA,Norton,4335,11.6,0,4725,101237,217
1952,South Atlantic,VA,Nottoway,15160,8.8,15126,3143,67825,194
1953,South Atlantic,VA,Orange,23763,16.1,16879,4969,134285,321
1954,South Atlantic,VA,Page,22718,7.9,15846,4979,125415,243
1955,South Atlantic,VA,Patrick,17762,7,15183,4367,53949,174
1956,South Atlantic,VA,Petersburg,37782,13.5,0,12871,362934,257
1957,South Atlantic,VA,Pittsylvania,56101,7.4,16278,12155,179187,186
1958,South Atlantic,VA,Poquoson City,11727,29.4,0,1225,40634,475
1959,South Atlantic,VA,Portsmouth,102735,11.6,16595,27676,494483,327
1960,South Atlantic,VA,Powhatan,18905,12.2,16174,1594,49698,331
1961,South Atlantic,VA,Prince Edward,18752,14.2,13279,7182,196658,221
1962,South Atlantic,VA,Prince George,28383,16.2,17007,6571,61312,388
1963,South Atlantic,VA,Prince William,245184,27.6,20921,45404,1723297,637
1964,South Atlantic,VA,Pulaski,34426,11.5,14690,10433,175359,228
1965,South Atlantic,VA,Radford,16212,29.1,0,5707,109061,339
1966,South Atlantic,VA,Rappahannock,7117,18.9,20774,1090,30532,345
1967,South Atlantic,VA,Richmond,8247,11.8,15787,2062,39942,215
1968,South Atlantic,VA,Richmond City,198273,24.2,25875,181525,2104441,333
1969,South Atlantic,VA,Roanoke,81717,22.6,23145,23625,399211,369
1970,South Atlantic,VA,Roanoke City,95701,15.6,20642,69032,1352361,278
1971,South Atlantic,VA,Rockbridge,19116,12.9,15688,3175,71455,234
1972,South Atlantic,VA,Rockingham,61894,14.6,18327,22446,198969,281
1973,South Atlantic,VA,Russell,29261,6.7,13716,5735,120512,182
1974,South Atlantic,VA,Salem,24198,17.8,0,20870,356878,345
1975,South Atlantic,VA,Scott,23197,5.9,14124,3249,131377,171
1976,South Atlantic,VA,Shenandoah,33423,11.2,17344,11243,198978,270
1977,South Atlantic,VA,Smyth,33231,7.8,15221,11814,199198,196
1978,South Atlantic,VA,South Boston,7157,14.5,0,7288,135335,188
1979,South Atlantic,VA,Southampton,17313,11.4,17342,4273,48878,140
1980,South Atlantic,VA,Spotsylvania,71981,19,20141,5515,408568,565
1981,South Atlantic,VA,Stafford,80107,21.6,17601,16196,385658,538
1982,South Atlantic,VA,Staunton,24796,17.8,0,10320,252817,284
1983,South Atlantic,VA,Suffolk,56787,12.3,17853,12658,290551,250
1984,South Atlantic,VA,Surry,6388,11,15250,0,6710,220
1985,South Atlantic,VA,Sussex,10078,8.6,16333,2523,50217,185
1986,South Atlantic,VA,Tazewell,47146,9.1,15134,12972,425418,209
1987,South Atlantic,VA,Virginia Beach,431000,25.5,20285,109546,2977724,484
1988,South Atlantic,VA,Warren,29264,11.8,17138,5631,163236,328
1989,South Atlantic,VA,Washington,48347,12.2,16368,11639,247877,224
1990,South Atlantic,VA,Waynesboro,18926,18.2,0,10339,173573,297
1991,South Atlantic,VA,Westmoreland,16464,10.9,15973,2172,61898,309
1992,South Atlantic,VA,Williamsburg,12646,42.9,0,15386,380040,428
1993,South Atlantic,VA,Winchester,23237,18.8,0,22552,523202,349
1994,South Atlantic,VA,Wise,39925,8.6,16694,10015,288756,211
1995,South Atlantic,VA,Wythe,26350,10,15252,8544,229117,213
1996,South Atlantic,VA,York,54108,28.9,20927,9482,170655,442
1997,South Atlantic,WV,Barbour,16229,10.1,12444,2519,61935,177
1998,South Atlantic,WV,Berkeley,66572,11.9,16522,17170,434410,284
1999,South Atlantic,WV,Boone,26291,6.4,14960,5704,127616,196
2000,South Atlantic,WV,Braxton,13401,8.1,12491,2414,86312,175
2001,South Atlantic,WV,Brooke,26866,12.2,15433,6834,107832,198
2002,South Atlantic,WV,Cabell,96837,18.9,18412,37126,918050,241
2003,South Atlantic,WV,Calhoun,7918,6.8,11236,1080,21761,145
2004,South Atlantic,WV,Clay,10380,6.2,10629,491,27723,140
2005,South Atlantic,WV,Doddridge,7409,10.3,11708,396,10461,157
2006,South Atlantic,WV,Fayette,48655,8.8,13889,8544,261694,180
2007,South Atlantic,WV,Gilmer,7359,14.2,13176,1018,22901,193
2008,South Atlantic,WV,Grant,11059,8.6,15628,4534,43714,178
2009,South Atlantic,WV,Greenbrier,35556,11.5,16045,9782,235365,192
2010,South Atlantic,WV,Hampshire,18381,9,12729,2466,63856,179
2011,South Atlantic,WV,Hancock,34734,8.9,18417,15911,171745,221
2012,South Atlantic,WV,Hardy,11642,7.3,17019,3367,35865,186
2013,South Atlantic,WV,Harrison,70931,13.5,16766,22710,598322,205
2014,South Atlantic,WV,Jackson,27200,8.7,14278,6233,221955,226
2015,South Atlantic,WV,Jefferson,39477,16.2,18047,7236,156687,294
2016,South Atlantic,WV,Kanawha,206195,17.6,20861,84708,1941471,259
2017,South Atlantic,WV,Lewis,17629,8.2,13767,4284,108893,174
2018,South Atlantic,WV,Lincoln,22167,4.7,10784,1631,48766,172
2019,South Atlantic,WV,Logan,42451,6.3,14529,10315,275976,196
2020,South Atlantic,WV,Marion,58063,12.5,15288,14874,403041,201
2021,South Atlantic,WV,Marshall,37105,9.7,15317,8115,195861,182
2022,South Atlantic,WV,Mason,25638,6.8,14065,4810,70784,177
2023,South Atlantic,WV,McDowell,32662,4.6,12537,3618,116658,139
2024,South Atlantic,WV,Mercer,64889,11.6,16865,17202,526195,212
2025,South Atlantic,WV,Mineral,27321,10.4,14438,3883,106540,196
2026,South Atlantic,WV,Mingo,33646,6.6,14441,8180,131413,193
2027,South Atlantic,WV,Monongalia,78060,28.1,18174,27201,567918,297
2028,South Atlantic,WV,Monroe,12977,8,12929,1073,22334,151
2029,South Atlantic,WV,Morgan,13182,11.8,15179,2034,45474,217
2030,South Atlantic,WV,Nicholas,27622,8,12947,6543,189226,186
2031,South Atlantic,WV,Ohio,49865,18.4,21308,24256,349122,209
