Index,Region,State,County,Population,% College Grad,Income per Capita,Employees,Retail Sales,Median Rent
143,East North Central,IN,Knox,40194,11.1,17135,13923,299352,226
144,East North Central,IN,Kosciusko,69210,14.4,19721,28249,448811,280
145,East North Central,IN,La Porte,110384,11.7,17643,37010,805516,266
146,East North Central,IN,Lagrange,31653,7.3,14204,8053,140777,244
147,East North Central,IN,Lake,482672,12.8,18574,170641,3625855,287
148,East North Central,IN,Lawrence,45097,9.4,16825,12250,287451,222
149,East North Central,IN,Madison,132796,11.7,17698,42698,957649,250
150,East North Central,IN,Marion,817604,21.4,22307,477001,8403910,345
151,East North Central,IN,Marshall,44879,12.3,17214,15367,291627,263
152,East North Central,IN,Martin,10545,8.6,15738,2075,44935,172
153,East North Central,IN,Miami,32611,9.7,15598,7013,174663,238
154,East North Central,IN,Monroe,115208,32.9,16788,39405,828023,339
155,East North Central,IN,Montgomery,36090,12.8,19062,15542,234702,253
156,East North Central,IN,Morgan,62115,10,17947,11544,335993,287
157,East North Central,IN,Newton,14413,8.1,15770,2919,44779,207
158,East North Central,IN,Noble,40884,8,17191,15593,187317,253
159,East North Central,IN,Ohio,5395,6,14718,370,8546,193
160,East North Central,IN,Orange,19011,6,14651,6275,85868,188
161,East North Central,IN,Owen,19663,7.1,14432,2641,83317,206
162,East North Central,IN,Parke,16094,10.1,16135,2152,49634,193
163,East North Central,IN,Perry,19129,6.8,14689,4518,110834,190
164,East North Central,IN,Pike,12610,8.5,16867,2078,34908,174
165,East North Central,IN,Porter,140487,18.5,20659,45074,829587,340
166,East North Central,IN,Posey,26493,11,19072,6737,111432,213
167,East North Central,IN,Pulaski,12960,8.9,16468,3423,69825,198
168,East North Central,IN,Putnam,32939,11.3,15881,8684,149125,242
169,East North Central,IN,Randolph,27377,8.6,16240,6473,120513,185
170,East North Central,IN,Ripley,26829,9.8,18001,10085,145722,215
171,East North Central,IN,Rush,18456,8.7,16439,4000,92828,199
172,East North Central,IN,Scott,22568,6.6,15077,5398,126530,221
173,East North Central,IN,Shelby,42809,9.9,18736,13858,235149,271
174,East North Central,IN,Spencer,20374,9.2,16089,4992,69163,191
175,East North Central,IN,St. Joseph,258083,19.2,19308,112861,2079019,325
176,East North Central,IN,Starke,22620,6,13323,3385,88777,204
177,East North Central,IN,Steuben,30060,12.5,17928,13288,281989,271
178,East North Central,IN,Sullivan,19879,10,16779,4155,82036,164
179,East North Central,IN,Switzerland,8222,5.6,13378,1223,16408,174
180,East North Central,IN,Tippecanoe,135285,30.7,17936,51019,1131439,335
181,East North Central,IN,Tipton,16463,9.8,19442,3140,93868,238
182,East North Central,IN,Union,7292,8.4,14548,799,29046,188
183,East North Central,IN,Vanderburgh,168065,16,20839,96597,1714974,265
184,East North Central,IN,Vermillion,16841,7.8,16786,4537,101551,186
185,East North Central,IN,Vigo,106622,18.1,17109,44594,1673371,236
186,East North Central,IN,Wabash,34896,11.7,17097,12418,206581,233
187,East North Central,IN,Warren,8394,9.4,16716,888,7374,176
188,East North Central,IN,Warrick,49380,16.2,19364,11754,183714,266
189,East North Central,IN,Washington,26088,6.8,14648,4914,89430,200
190,East North Central,IN,Wayne,72802,11.3,17199,27377,596218,231
191,East North Central,IN,Wells,26506,12.1,18901,8701,126645,236
192,East North Central,IN,White,24505,10.7,18025,8065,145433,217
193,East North Central,IN,Whitley,29426,8.8,18033,8808,170018,247
194,East North Central,MI,Alcona,10587,9,14542,1007,44362,244
195,East North Central,MI,Alger,9846,11.5,13217,2428,40233,206
196,East North Central,MI,Allegan,97692,12,18214,30537,490520,305
197,East North Central,MI,Alpena,30841,11.4,16559,9791,244612,245
198,East North Central,MI,Antrim,20257,13.7,15499,3643,87670,274
199,East North Central,MI,Arenac,16151,7.1,14572,3517,96127,252
200,East North Central,MI,Baraga,8493,8.3,14320,1778,40854,181
201,East North Central,MI,Barry,52643,10.8,17517,8252,194935,287
202,East North Central,MI,Bay,111529,11,18924,31786,842779,287
203,East North Central,MI,Benzie,13660,15.1,17156,2446,70166,250
204,East North Central,MI,Berrien,162623,16.7,18660,57138,1063920,294
205,East North Central,MI,Branch,42738,10.3,15271,9546,217525,265
206,East North Central,MI,Calhoun,140689,13.8,18510,54191,1039812,303
207,East North Central,MI,Cass,49603,9.2,17068,8672,196096,266
208,East North Central,MI,Charlevoix,23052,16,17753,7601,155018,288
209,East North Central,MI,Cheboygan,22854,10,14968,5343,208525,250
210,East North Central,MI,Chippewa,36859,10.8,13209,8626,269879,259
211,East North Central,MI,Clare,28078,6.8,13591,5412,180078,243
212,East North Central,MI,Clinton,61657,14.6,17799,9851,315643,326
213,East North Central,MI,Crawford,13523,12.6,12941,3595,96059,273
214,East North Central,MI,Delta,38655,11.3,16432,11069,290325,233
215,East North Central,MI,Dickinson,27176,13,17929,11100,230954,276
216,East North Central,MI,Eaton,98087,18.5,19038,18416,692268,376
217,East North Central,MI,Emmet,27352,19.2,20648,11565,327192,324
218,East North Central,MI,Genesee,436381,12.8,19139,152084,3609275,328
219,East North Central,MI,Gladwin,24304,6.5,13809,3180,121190,226
220,East North Central,MI,Gogebic,17894,11.4,15461,5010,128977,187
221,East North Central,MI,Grand Traverse,70869,22.1,19744,33351,905295,377
222,East North Central,MI,Gratiot,39973,10.9,15939,10726,223680,253
223,East North Central,MI,Hillsdale,45224,11.3,16012,12328,202995,251
224,East North Central,MI,Houghton,36140,18,14479,8368,227131,230
225,East North Central,MI,Huron,35224,8.9,18343,9355,259063,229
226,East North Central,MI,Ingham,277889,29.2,19464,123621,2522063,374
227,East North Central,MI,Ionia,59846,8.9,14543,10493,257617,272
228,East North Central,MI,Iosco,24482,10.4,15945,5498,211221,278
229,East North Central,MI,Iron,13177,10,14592,2877,88404,191
230,East North Central,MI,Isabella,56213,21.5,15111,15442,410538,326
231,East North Central,MI,Jackson,154010,12.9,17349,46657,1026530,309
232,East North Central,MI,Kalamazoo,227973,27.1,21296,102993,1953064,372
233,East North Central,MI,Kalkaska,14696,7.1,14395,3658,94506,269
234,East North Central,MI,Kent,525355,20.7,21407,275967,4597225,381
235,East North Central,MI,Keweenaw,1967,11.1,15471,162,5127,146
236,East North Central,MI,Lake,9664,6.6,12735,985,38078,204
237,East North Central,MI,Lapeer,83854,9.3,17719,14407,470916,335
238,East North Central,MI,Leelanau,18502,24.1,19907,3341,86711,322
239,East North Central,MI,Lenawee,96706,12.9,18035,27395,594979,316
240,East North Central,MI,Livingston,133601,19.6,22560,30772,793462,448
241,East North Central,MI,Luce,5599,9.6,17641,1281,47146,233
242,East North Central,MI,Mackinac,10978,10.4,17409,2585,88037,221
243,East North Central,MI,Macomb,733607,13.5,22691,284514,7010621,437
244,East North Central,MI,Manistee,22915,10.5,15366,5424,160160,224
245,East North Central,MI,Marquette,65442,20.3,16450,20049,505870,273
246,East North Central,MI,Mason,27487,11.8,16308,7547,187060,243
247,East North Central,MI,Mecosta,37725,17.9,13622,7715,228676,280
248,East North Central,MI,Menominee,24569,9.3,17262,7353,114879,222
249,East North Central,MI,Midland,79748,27.4,23576,30569,508503,344
250,East North Central,MI,Missaukee,13522,8,13903,1580,55258,250
251,East North Central,MI,Monroe,139550,10.5,19022,32081,792384,344
252,East North Central,MI,Montcalm,57866,8.2,13889,13691,323204,262
253,East North Central,MI,Montmorency,9683,8.7,12666,1678,48992,223
254,East North Central,MI,Muskegon,164459,11.1,16239,46882,1049179,294
255,East North Central,MI,Newaygo,43587,10.5,14732,7344,181717,266
256,East North Central,MI,Oakland,1153461,30.2,29781,615083,12264200,495
257,East North Central,MI,Oceana,23875,10.4,15773,3613,99825,240
258,East North Central,MI,Ogemaw,20559,7.2,12773,4857,168702,241
259,East North Central,MI,Ontonagon,8639,9.2,15568,2867,62035,192
260,East North Central,MI,Osceola,21756,8.7,14729,5703,121839,228
261,East North Central,MI,Oscoda,8682,7.9,12131,1232,35158,230
262,East North Central,MI,Otsego,20762,13.7,16376,7577,242613,292
263,East North Central,MI,Ottawa,210389,18.7,20578,74998,1348141,402
264,East North Central,MI,Presque Isle,14242,8.7,14749,2768,76522,207
265,East North Central,MI,Roscommon,22593,7.9,14727,3974,189571,248
266,East North Central,MI,Saginaw,212295,13,18108,80487,1947988,301
267,East North Central,MI,Sanilac,42203,8.4,16268,9133,202539,254
268,East North Central,MI,Schoolcraft,8700,8.9,15082,2147,72493,206
269,East North Central,MI,Shiawassee,72079,10.3,16783,15403,466687,292
270,East North Central,MI,St. Clair,154231,10.7,18561,39702,1073354,329
271,East North Central,MI,St. Joseph,60684,10.9,17260,19121,346890,278
272,East North Central,MI,Tuscola,57491,8.1,16140,9935,263141,268
273,East North Central,MI,Van Buren,74591,12.1,16023,14982,388833,266
274,East North Central,MI,Washtenaw,292609,41.9,25489,137791,2890363,490
275,East North Central,MI,Wayne,2055500,13.7,19912,699446,12926562,297
276,East North Central,MI,Wexford,28686,12.6,15683,12207,285927,279
277,East North Central,OH,Adams,27670,5.2,12474,3512,128370,176
278,East North Central,OH,Allen,109399,11.4,17749,46914,996384,264
279,East North Central,OH,Ashland,51240,13,16387,15687,260357,243
280,East North Central,OH,Ashtabula,102360,9,15806,25710,570685,243
281,East North Central,OH,Athens,60687,23.4,12784,10691,326249,285
282,East North Central,OH,Auglaize,46877,9.8,18401,16063,290212,256
283,East North Central,OH,Belmont,70379,9,15769,16864,585082,195
284,East North Central,OH,Brown,38850,7.4,14807,6046,114773,212
285,East North Central,OH,Butler,315601,18.7,18852,87656,1522501,325
286,East North Central,OH,Carroll,28142,7.9,14730,4637,101648,205
287,East North Central,OH,Champaign,37686,9.7,17730,9105,187231,248
288,East North Central,OH,Clark,147731,12.2,18349,45529,946177,256
289,East North Central,OH,Clermont,166941,14.5,17499,34311,1086932,340
290,East North Central,OH,Clinton,38019,11.6,17377,15756,293285,261
291,East North Central,OH,Columbiana,111853,8.5,15345,27672,650821,209
292,East North Central,OH,Coshocton,36244,8.1,15423,11297,160900,208
293,East North Central,OH,Crawford,47733,9.3,16353,15246,226171,205
294,East North Central,OH,Cuyahoga,1398169,20.1,23632,682913,10402881,321
295,East North Central,OH,Darke,54318,8.8,17247,14252,264925,230
296,East North Central,OH,Defiance,40115,12.5,18183,14342,289548,252
297,East North Central,OH,Delaware,78956,26.4,23817,19040,339149,330
298,East North Central,OH,Erie,78805,13.8,19880,29266,632279,286
299,East North Central,OH,Fairfield,117556,15.5,18543,24726,633733,284
300,East North Central,OH,Fayette,28431,8.5,15620,7611,190574,214
301,East North Central,OH,Franklin,1011019,26.6,21547,500400,10132404,355
302,East North Central,OH,Fulton,40846,10.3,18345,15881,245716,263
303,East North Central,OH,Gallia,32582,10.9,14821,8146,222536,208
304,East North Central,OH,Geauga,84260,25.9,23579,21783,425895,368
305,East North Central,OH,Greene,141181,26,19796,33774,850778,352
306,East North Central,OH,Guernsey,40246,9.2,14119,11216,253524,211
307,East North Central,OH,Hamilton,863908,23.7,23711,509747,7852593,304
308,East North Central,OH,Hancock,68239,18.7,20177,32871,656285,286
309,East North Central,OH,Hardin,31558,11.6,14378,7360,132440,201
310,East North Central,OH,Harrison,16100,7,14024,2808,46119,180
311,East North Central,OH,Henry,29814,10.3,18244,8427,156532,238
312,East North Central,OH,Highland,39245,8.2,13976,7268,192697,199
313,East North Central,OH,Hocking,27997,8.1,14259,5488,106970,219
314,East North Central,OH,Holmes,36160,6.6,12785,9726,162047,219
315,East North Central,OH,Huron,58613,9.4,17632,20370,342970,264
316,East North Central,OH,Jackson,31927,7.9,13386,9036,196994,192
317,East North Central,OH,Jefferson,78262,8.8,16391,22289,506742,191
318,East North Central,OH,Knox,51009,12.8,16177,13318,235294,235
319,East North Central,OH,Lake,223003,17.5,21028,82364,2062308,406
320,East North Central,OH,Lawrence,64206,8.2,14400,9549,328457,210
321,East North Central,OH,Licking,136593,13,18297,38809,890454,271
322,East North Central,OH,Logan,45204,8.9,17740,14096,238238,249
323,East North Central,OH,Lorain,281447,12.3,18200,83845,1844032,296
324,East North Central,OH,Lucas,455018,17,20188,195005,3949615,297
325,East North Central,OH,Madison,40878,9,15579,7991,188892,254
326,East North Central,OH,Mahoning,262338,14,18276,94099,2069129,260
327,East North Central,OH,Marion,65781,9.9,16694,23019,464187,235
328,East North Central,OH,Medina,135735,18,20087,38143,914761,357
329,East North Central,OH,Meigs,24066,7.3,12574,3379,96649,174
330,East North Central,OH,Mercer,40906,8.6,17795,13156,242021,235
331,East North Central,OH,Miami,97010,14.1,19484,33880,650459,291
332,East North Central,OH,Monroe,15388,6.8,14178,3751,49873,166
333,East North Central,OH,Montgomery,570490,20,20713,262892,4658439,316
334,East North Central,OH,Morgan,14602,7.4,14936,2277,37321,190
335,East North Central,OH,Morrow,30136,7.2,13752,4970,97784,217
